model,sampler,sample_frac,hypervolume_proxy
WS,preferential_random_walk,0.5,0.21007308632759544
WS,metropolis_hastings_rw,0.5,0.19755112110646209
WS,metropolis_hastings_rw,0.5,0.1967722380698219
WS,metropolis_hastings_rw,0.5,0.1992341411267388
WS,metropolis_hastings_rw,0.5,0.19669714258213358
WS,metropolis_hastings_rw,0.5,0.1919374951813958
ER,snowball,0.05,0.2956755254319199
ER,snowball,0.05,0.2829684830781959
ER,random_node,0.1,0.43446108755577617
ER,snowball,0.1,0.2882137970472235
ER,snowball,0.1,0.2919479541786913
ER,snowball,0.1,0.274570409167541
ER,snowball,0.1,0.2699303917837294
ER,snowball,0.2,0.22950510184371198
ER,snowball,0.2,0.2261526012448798
ER,preferential_random_walk,0.2,0.309363320078611
ER,random_walk,0.3,0.2525317740101527
ER,preferential_random_walk,0.5,0.11423709771456707
ER,preferential_random_walk,0.5,0.11565736535937458
ER,metropolis_hastings_rw,0.5,0.1384473191473892
ER,metropolis_hastings_rw,0.5,0.1375716502768131
BA,random_node,0.05,0.33861725758258715
BA,random_node,0.1,0.3355395286088155
BA,random_edge,0.5,0.019010396217529483
BA,random_edge,0.5,0.02054827615587639
BA,random_edge,0.5,0.020751485173547964
BA,random_edge,0.5,0.0190319511112095
BA,random_edge,0.5,0.01865261631801665
BA,random_edge,0.5,0.021360297605787063
BA,random_edge,0.5,0.017597508953920545
BA,random_edge,0.5,0.020093328593495767
BA,snowball,0.5,0.030272923960625395
BA,snowball,0.5,0.03226030954930684
BA,snowball,0.5,0.03283309161496281
BA,snowball,0.5,0.031429228926202125
BA,random_walk,0.5,0.021401543714506505
BA,random_walk,0.5,0.02180846869005611
BA,random_walk,0.5,0.01910287822845294
BA,random_walk,0.5,0.02275832157848139
BA,random_walk,0.5,0.01805123643003509
BA,random_walk,0.5,0.019820658453001766
BA,random_walk,0.5,0.020520316973716455
BA,random_walk,0.5,0.019770660749058973
BA,preferential_random_walk,0.5,0.014384227582149007
BA,preferential_random_walk,0.5,0.014690328056994875
BA,preferential_random_walk,0.5,0.015616711022689527
BA,preferential_random_walk,0.5,0.016270814626480022
BA,preferential_random_walk,0.5,0.015414460433791369
BA,preferential_random_walk,0.5,0.014667232624919526
BA,preferential_random_walk,0.5,0.019125220370229182
BA,preferential_random_walk,0.5,0.01405033333803838
BA,metropolis_hastings_rw,0.5,0.0343026664503509
BA,metropolis_hastings_rw,0.5,0.037326700047225624
BA,metropolis_hastings_rw,0.5,0.03586989358982208
BA,metropolis_hastings_rw,0.5,0.036391513985904324
WS,snowball,0.05,0.3089875101798612
WS,snowball,0.05,0.32993412068902706
WS,snowball,0.05,0.3114190306949916
WS,random_edge,0.1,0.5718445832001245
WS,snowball,0.2,0.26129594467725503
WS,snowball,0.5,0.14945717576585535
WS,snowball,0.5,0.14609060207408178
WS,snowball,0.5,0.14420870665671853
WS,random_walk,0.5,0.21100436282190857
WS,preferential_random_walk,0.5,0.2108929024760392
WS,preferential_random_walk,0.5,0.21097045279104573
WS,preferential_random_walk,0.5,0.2166136655721483
WS,metropolis_hastings_rw,0.5,0.19611160295879718
WS,metropolis_hastings_rw,0.5,0.1903789560561336
