graph_id,model,graph_n,sample_frac,objective,target_sampler,best_error,model_BA,model_ER,model_WS
ER_n5000_s15,ER,5000,0.2,preserve_clustering,snowball,0.01362606956942658,0,1,0
ER_n5000_s15,ER,5000,0.3,preserve_clustering,snowball,0.01248110656601214,0,1,0
ER_n5000_s15,ER,5000,0.5,preserve_clustering,snowball,0.00605578612943037,0,1,0
ER_n5000_s45,ER,4999,0.05,preserve_clustering,snowball,0.01999546098260887,0,1,0
ER_n5000_s45,ER,4999,0.1,preserve_clustering,snowball,0.01685398472030885,0,1,0
ER_n5000_s45,ER,4999,0.2,preserve_clustering,snowball,0.01563735293360979,0,1,0
ER_n5000_s45,ER,4999,0.3,preserve_clustering,snowball,0.01145838218710822,0,1,0
ER_n5000_s45,ER,4999,0.5,preserve_clustering,snowball,0.00950688874117005,0,1,0
WS_n1000_s0,WS,1000,0.05,preserve_clustering,metropolis_hastings_rw,0.49642842685750976,0,0,1
WS_n1000_s0,WS,1000,0.1,preserve_clustering,metropolis_hastings_rw,0.42296636891882916,0,0,1
WS_n1000_s0,WS,1000,0.2,preserve_clustering,snowball,0.31519794690128433,0,0,1
WS_n1000_s0,WS,1000,0.3,preserve_clustering,metropolis_hastings_rw,0.2335364246987524,0,0,1
WS_n1000_s0,WS,1000,0.5,preserve_clustering,metropolis_hastings_rw,0.11325632071733235,0,0,1
WS_n1000_s15,WS,1000,0.05,preserve_clustering,snowball,0.50246000759537,0,0,1
WS_n1000_s15,WS,1000,0.1,preserve_clustering,snowball,0.39425568335281175,0,0,1
WS_n1000_s15,WS,1000,0.2,preserve_clustering,snowball,0.31072181092528234,0,0,1
WS_n1000_s15,WS,1000,0.3,preserve_clustering,metropolis_hastings_rw,0.22623130787730927,0,0,1
WS_n1000_s15,WS,1000,0.5,preserve_clustering,metropolis_hastings_rw,0.10181377163384442,0,0,1
WS_n1000_s45,WS,1000,0.05,preserve_clustering,metropolis_hastings_rw,0.5169189234208993,0,0,1
WS_n1000_s45,WS,1000,0.1,preserve_clustering,snowball,0.4054769680754318,0,0,1
WS_n1000_s45,WS,1000,0.2,preserve_clustering,snowball,0.3053946813935945,0,0,1
WS_n1000_s45,WS,1000,0.3,preserve_clustering,metropolis_hastings_rw,0.22680087224318685,0,0,1
WS_n1000_s45,WS,1000,0.5,preserve_clustering,metropolis_hastings_rw,0.10289857762050632,0,0,1
WS_n5000_s0,WS,5000,0.05,preserve_clustering,snowball,0.39775534127582823,0,0,1
WS_n5000_s0,WS,5000,0.1,preserve_clustering,snowball,0.3605280328130914,0,0,1
WS_n5000_s0,WS,5000,0.2,preserve_clustering,snowball,0.28933355021788787,0,0,1
WS_n5000_s0,WS,5000,0.3,preserve_clustering,metropolis_hastings_rw,0.2135194394751847,0,0,1
WS_n5000_s0,WS,5000,0.5,preserve_clustering,metropolis_hastings_rw,0.0930686001499009,0,0,1
WS_n5000_s15,WS,5000,0.05,preserve_clustering,snowball,0.39449991176987187,0,0,1
WS_n5000_s15,WS,5000,0.1,preserve_clustering,snowball,0.35809590973647903,0,0,1
WS_n5000_s15,WS,5000,0.2,preserve_clustering,snowball,0.2790508061982265,0,0,1
WS_n5000_s15,WS,5000,0.3,preserve_clustering,metropolis_hastings_rw,0.20884039756470898,0,0,1
WS_n5000_s15,WS,5000,0.5,preserve_clustering,metropolis_hastings_rw,0.09219330321756161,0,0,1
WS_n5000_s45,WS,5000,0.05,preserve_clustering,snowball,0.3911138603277181,0,0,1
WS_n5000_s45,WS,5000,0.1,preserve_clustering,snowball,0.3510720020983878,0,0,1
WS_n5000_s45,WS,5000,0.2,preserve_clustering,snowball,0.28290567620417506,0,0,1
WS_n5000_s45,WS,5000,0.3,preserve_clustering,metropolis_hastings_rw,0.21470572045701516,0,0,1
WS_n5000_s45,WS,5000,0.5,preserve_clustering,metropolis_hastings_rw,0.09334325268170227,0,0,1
BA_n1000_s0,BA,1000,0.05,preserve_betweenness,random_node,0.059422082754429596,1,0,0
BA_n1000_s0,BA,1000,0.1,preserve_betweenness,random_node,0.04807454726369135,1,0,0
BA_n1000_s0,BA,1000,0.2,preserve_betweenness,snowball,0.041691872685166796,1,0,0
BA_n1000_s0,BA,1000,0.3,preserve_betweenness,snowball,0.02148113868005756,1,0,0
BA_n1000_s0,BA,1000,0.5,preserve_betweenness,snowball,0.012597611932354941,1,0,0
BA_n1000_s15,BA,1000,0.05,preserve_betweenness,random_node,0.07384685289529,1,0,0
BA_n1000_s15,BA,1000,0.1,preserve_betweenness,snowball,0.06209226932158647,1,0,0
BA_n1000_s15,BA,1000,0.2,preserve_betweenness,snowball,0.03790370348700406,1,0,0
BA_n1000_s15,BA,1000,0.3,preserve_betweenness,snowball,0.02736198680824394,1,0,0
BA_n1000_s15,BA,1000,0.5,preserve_betweenness,snowball,0.01628572817863828,1,0,0
BA_n1000_s45,BA,1000,0.05,preserve_betweenness,random_node,0.06090205224666127,1,0,0
BA_n1000_s45,BA,1000,0.1,preserve_betweenness,random_node,0.05444262135070697,1,0,0
BA_n1000_s45,BA,1000,0.2,preserve_betweenness,snowball,0.027053378272351953,1,0,0
BA_n1000_s45,BA,1000,0.3,preserve_betweenness,snowball,0.01985769098584656,1,0,0
BA_n1000_s45,BA,1000,0.5,preserve_betweenness,snowball,0.0121114938840234,1,0,0
BA_n5000_s0,BA,5000,0.05,preserve_betweenness,random_node,0.014880259311333919,1,0,0
BA_n5000_s0,BA,5000,0.1,preserve_betweenness,random_node,0.01583034069358997,1,0,0
BA_n5000_s0,BA,5000,0.2,preserve_betweenness,snowball,0.01026384968551142,1,0,0
BA_n5000_s0,BA,5000,0.3,preserve_betweenness,snowball,0.00578926619835363,1,0,0
BA_n5000_s0,BA,5000,0.5,preserve_betweenness,snowball,0.00348612496142933,1,0,0
BA_n5000_s15,BA,5000,0.05,preserve_betweenness,random_node,0.01388057786364531,1,0,0
BA_n5000_s15,BA,5000,0.1,preserve_betweenness,snowball,0.0205832968533364,1,0,0
BA_n5000_s15,BA,5000,0.2,preserve_betweenness,snowball,0.010452896948983739,1,0,0
BA_n5000_s15,BA,5000,0.3,preserve_betweenness,snowball,0.00825677087665573,1,0,0
BA_n5000_s15,BA,5000,0.5,preserve_betweenness,snowball,0.00430262299107858,1,0,0
BA_n5000_s45,BA,5000,0.05,preserve_betweenness,random_node,0.0150193698824519,1,0,0
BA_n5000_s45,BA,5000,0.1,preserve_betweenness,random_node,0.01754121074606738,1,0,0
BA_n5000_s45,BA,5000,0.2,preserve_betweenness,snowball,0.01029310836743591,1,0,0
BA_n5000_s45,BA,5000,0.3,preserve_betweenness,snowball,0.007054514051518181,1,0,0
BA_n5000_s45,BA,5000,0.5,preserve_betweenness,snowball,0.0039003432908999297,1,0,0
ER_n1000_s0,ER,1000,0.05,preserve_betweenness,snowball,0.1439004454926408,0,1,0
ER_n1000_s0,ER,1000,0.1,preserve_betweenness,snowball,0.15221943593540285,0,1,0
ER_n1000_s0,ER,1000,0.2,preserve_betweenness,snowball,0.13765950016207254,0,1,0
ER_n1000_s0,ER,1000,0.3,preserve_betweenness,snowball,0.13832527401687153,0,1,0
ER_n1000_s0,ER,1000,0.5,preserve_betweenness,snowball,0.09463729394185924,0,1,0
ER_n1000_s15,ER,1000,0.05,preserve_betweenness,snowball,0.14694318774731993,0,1,0
ER_n1000_s15,ER,1000,0.1,preserve_betweenness,snowball,0.13319512853194335,0,1,0
ER_n1000_s15,ER,1000,0.2,preserve_betweenness,snowball,0.1545775538292934,0,1,0
ER_n1000_s15,ER,1000,0.3,preserve_betweenness,snowball,0.13871723252431256,0,1,0
ER_n1000_s15,ER,1000,0.5,preserve_betweenness,snowball,0.09579702369430118,0,1,0
ER_n1000_s45,ER,1000,0.05,preserve_betweenness,snowball,0.13715450398960322,0,1,0
ER_n1000_s45,ER,1000,0.1,preserve_betweenness,snowball,0.13184614196096353,0,1,0
ER_n1000_s45,ER,1000,0.2,preserve_betweenness,snowball,0.16159974288510956,0,1,0
ER_n1000_s45,ER,1000,0.3,preserve_betweenness,snowball,0.14621077006012617,0,1,0
